AP (All Rounds),AP (GPTCache),AP (SBERT-Threshold),Accuracy (GPTCache),Accuracy (SBERT-Threshold),Avg. Time (GPTCache),Avg. Time (SBERT-Threshold),F1 (All Rounds),F1 (Final Round),F1 (GPTCache),F1 (SBERT-Threshold),F1 (Stored Best F1),Hit Rate (GPTCache),Hit Rate (SBERT-Threshold),Miss Rate (GPTCache),Miss Rate (SBERT-Threshold),Precision (All Rounds),Precision (GPTCache),Precision (SBERT-Threshold),Recall (GPTCache),Recall (SBERT-Threshold),Threshold (GPTCache),Threshold (SBERT-Threshold),batch_size,client_epochs,clients_per_round,device,dname,key,num_clients,num_rounds,tname,loss_type,Sampling
[],0.8209360868205894,0.8209360868205894,0.779,0.768,0.0005154286623001099,0.0005063234567642212,[0.7428484633689433],0.7428484633689433,0.7981735159817351,0.8,-1.0,0.626,0.624,0.374,0.376,[0.6329048399620395],0.7344537815126051,0.703030303030303,0.874,0.928,0.7,0.6494147181510925,512,1,2,cuda,quora,tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-2-num_clients-20-batch_size-512-device-cuda-client_epochs-1-num_rounds-2-,20,2,paraphrase-albert-small-v2,,"[0 1]:[1000 1000], Total:2000"
[],0.8209360868205894,0.8209360868205894,0.779,0.768,0.0005110670328140258,0.0005501900911331176,[0.7413641059235556],0.7413641059235556,0.7981735159817351,0.8,-1.0,0.626,0.624,0.374,0.376,[0.6295519705592879],0.7344537815126051,0.703030303030303,0.874,0.928,0.7,0.6494147181510925,512,1,2,cuda,quora,tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-2-num_clients-20-batch_size-512-device-cuda-client_epochs-1-num_rounds-3-,20,3,paraphrase-albert-small-v2,,"[0 1]:[1000 1000], Total:2000"
[],0.8209360868205894,0.8747002856689583,0.779,0.81,0.0005049502849578857,0.0004961827993392945,"[0.7415525576450935, 0.7634471097960477, 0.7734179598203481, 0.7782490483958673, 0.781924914675768, 0.784436617765329, 0.7856252251253775, 0.7880034466464685, 0.7888419273034657, 0.7897869939342643, 0.7909029950827001, 0.791976434282508, 0.7925816106744245, 0.7920177128561982, 0.7928382876162056, 0.791980234572459, 0.7927753954505438, 0.7929949064270589, 0.7928656903527266, 0.7944761265794476, 0.7942033907899578, 0.7942813550702117, 0.7941076870978667, 0.7914447592067988, 0.7924204702627938, 0.7925613715327221, 0.7933183604716451, 0.7918371923529742, 0.7900444545119913, 0.790787603070799, 0.7914393385454751, 0.7904718382268935, 0.7903778123673411, 0.7891944042450555, 0.7884780248042522, 0.789653795699538, 0.7874679578467672, 0.7869981095341554, 0.7872760058604756, 0.7871264884295663, 0.7863247863247863, 0.7841108332614758, 0.7842428415676822, 0.785008498257137, 0.7855229410088344, 0.7844486789340462, 0.7846822836302427, 0.7843489488309429, 0.7843684180565834, 0.7824483775811211, 0.7825192516193601]",0.7825192516193601,0.7981735159817351,0.8183556405353728,-1.0,0.626,0.534,0.374,0.466,"[0.6317219371253612, 0.6710477428942968, 0.689210564156641, 0.6995112414467253, 0.7051957645900024, 0.7165003292973302, 0.7170603409033433, 0.7211171592816809, 0.7302034428794992, 0.7318692810457517, 0.7268898931799507, 0.7304010349288487, 0.729167738946935, 0.7461667659966409, 0.7455212605223397, 0.738051130048166, 0.7387921452389774, 0.7439063674433587, 0.7409734796037917, 0.7305161422989924, 0.7379937930671716, 0.736958003460389, 0.7360326428123039, 0.7359852476290832, 0.7222894604135148, 0.7403958710226668, 0.7320725388601036, 0.7297716234370156, 0.734379112491446, 0.7377188328912467, 0.731416987212808, 0.7403167130323133, 0.7343676045227452, 0.7349505840071878, 0.7387811931027096, 0.7385575589459085, 0.7357104843001596, 0.7293551592489933, 0.7287189651575214, 0.7265657403566985, 0.7327088955918929, 0.7384548752097884, 0.7374015323189813, 0.7407709454683847, 0.7342567927543953, 0.7319675176476832, 0.7236739974126779, 0.7236753509089967, 0.7323801424471138, 0.7284009294465569, 0.7161976489746069]",0.7344537815126051,0.7838827838827839,0.874,0.856,0.7,0.6325540542602539,512,6,4,cuda,quora,tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-50-,20,50,paraphrase-albert-small-v2,,"[0 1]:[1000 1000], Total:2000"
[],0.8025792419400816,0.8751546836539974,0.759,0.82,0.0002460792064666748,0.00023700392246246338,"[0.7137479221668134, 0.7275082841268655, 0.7394492590123584, 0.7461718609259593, 0.751073849816281, 0.7552608820985874, 0.758242337922667, 0.7595351209168747, 0.7621794871794871, 0.7642479474984722, 0.7650114385681603, 0.7661841468008395, 0.7677261613691931, 0.768729123588357, 0.7690186407869966, 0.7693078444297957, 0.7710862535121668, 0.7724108385991217, 0.7732044569740905, 0.773006134969325, 0.7743629591918758, 0.7749852949040158, 0.7743378144549449, 0.7761080256996624, 0.7748025633525674, 0.7767636223676252, 0.7774068195501067, 0.778336217077257, 0.7780362959516055, 0.7789312224383029, 0.7790356623996053]",0.7790356623996053,0.7801094890510949,0.830827067669173,-1.0,0.619,0.582,0.381,0.418,"[0.5937449162192939, 0.613007515640089, 0.6357464068424301, 0.6432533167679816, 0.6500492699095225, 0.6598287467374879, 0.6656478651477262, 0.6757892725796437, 0.6755681818181818, 0.6746727963597129, 0.6821214302855771, 0.6830087306917394, 0.6778674676177961, 0.6774600504625736, 0.6778385453185621, 0.6752140708169405, 0.6794823881154817, 0.6859425527867605, 0.6881242532855436, 0.6963890935887989, 0.6880624732155611, 0.6874584953989185, 0.6845846081430925, 0.6983147168332353, 0.6844083243294029, 0.7044479904258502, 0.7024033231134408, 0.7052909262854015, 0.703111858704794, 0.7042944177522413, 0.7048261494965528]",0.7172818791946308,0.7836879432624113,0.855,0.884,0.7,0.7366183996200562,412,6,4,cuda,quora,tname-paraphrase-MiniLM-L3-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-412-device-cuda-client_epochs-6-num_rounds-30-,20,30,paraphrase-MiniLM-L3-v2,,"[0 1]:[1000 1000], Total:2000"
[],0.8421393748849033,0.8991427545090229,0.7805,0.836,0.00029084885120391846,0.0002798973321914673,"[0.7432735426008968, 0.7678858356709061, 0.7744290733421167, 0.7800846042524768, 0.7826899813042999, 0.7854730186180993, 0.7872346194517502, 0.787037801822637, 0.7905992303463442, 0.7908485948413353, 0.792539122768349, 0.7927256792287466, 0.795148842337376, 0.7959855215531424, 0.7970237929981399, 0.7966238613888966, 0.7969346539036132, 0.7975133712301531, 0.7991020702269768, 0.8004013713521198, 0.8008491145746048, 0.8017772278619837, 0.8024438776940108, 0.8021962551034774, 0.802390483170773, 0.8033585222502099, 0.8034101460285304, 0.8043049529497943, 0.8041341063776153, 0.8056238819320214, 0.8057910599104302]",0.8057910599104302,0.8048021342819031,0.8491260349586017,-1.0,0.616,0.547,0.384,0.453,"[0.636165387299372, 0.6911123094269327, 0.7014220365950676, 0.7146135019375892, 0.7098543786155994, 0.7025668294097742, 0.7060454258061378, 0.7146142692865357, 0.7168993020937189, 0.7173500947820014, 0.7200140168201842, 0.7167194928684627, 0.7226452905811623, 0.720369267421084, 0.7286664297680086, 0.7303233055825119, 0.7264702915363664, 0.734361301634779, 0.7294945099428225, 0.7341616812394539, 0.7358587414023201, 0.7409178317135284, 0.7394246164970818, 0.7421203438395415, 0.743030176464446, 0.7394126738794435, 0.7427813329171219, 0.7444456034212997, 0.7405974307382758, 0.7406969572368421, 0.7456602199864464]",0.7245796637309848,0.7862010221465077,0.905,0.923,0.7,0.6907409429550171,412,6,4,cuda,quora,tname-multi-qa-MiniLM-L6-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-412-device-cuda-client_epochs-6-num_rounds-30-,20,30,multi-qa-MiniLM-L6-cos-v1,,"[0 1]:[1000 1000], Total:2000"
[],0.875351625461012,0.9200319468222431,0.803,0.8415,0.0007558554410934448,0.0007505353689193726,"[0.7666612877198643, 0.8150771565899316, 0.8214101904271744, 0.8229131463332208, 0.8236475245252711, 0.8241784037558686, 0.8208891543647069, 0.824028880866426, 0.8220551378446116, 0.8258556891766883, 0.8223270440251573, 0.8205577968777408, 0.823045505894621, 0.8215945866431303, 0.821640972342514, 0.821972358866245, 0.8228597978859333, 0.8218234865061999, 0.8185607595669542, 0.8210314030538749, 0.8213158817342526, 0.8172324519300695, 0.8180097271165215, 0.8217464093752753, 0.8185377827128748, 0.8178904428904428, 0.8172612197928654, 0.8176776529410075, 0.8188036675884152, 0.8182162083515204, 0.8146718146718147]",0.8146718146718147,0.8267370272647317,0.8485427615862399,-1.0,0.633,0.571,0.367,0.429,"[0.6832039114178889, 0.7529210157345381, 0.7700225152782245, 0.7614133833646028, 0.7742961924280013, 0.7907657657657657, 0.7660455486542443, 0.7793499043977056, 0.7679863771817795, 0.7817425569176882, 0.7834553928095872, 0.7846360281784636, 0.780475745756194, 0.7902093944538766, 0.7768315318266187, 0.7871242709735308, 0.7820710973724884, 0.7844054580896687, 0.7757599034346538, 0.7748232735182164, 0.7849006030824213, 0.7779254582710307, 0.7794860409613144, 0.789135217464884, 0.7823706848396828, 0.7797222222222222, 0.7702819956616052, 0.7698717601861371, 0.7798724701968395, 0.7791077860903297, 0.7793821356615178]",0.7378335949764521,0.8124428179322964,0.94,0.888,0.7,0.7047698497772217,128,6,4,cuda,quora,tname-multi-qa-mpnet-base-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-30-,20,30,multi-qa-mpnet-base-cos-v1,,"[0 1]:[1000 1000], Total:2000"
[],0.8025792419400816,0.8710472024636645,0.759,0.8175,0.000246376633644104,0.00023908853530883788,"[0.7161552788942261, 0.7274850238602903, 0.7366159534337604, 0.7433116783467185, 0.7487430640581447, 0.7517782046622709, 0.75501507119842, 0.7579193951977852, 0.7588588905294241, 0.7611190438415569, 0.7635120700704977, 0.7644468170292272, 0.7657497546354015, 0.7664571793779291, 0.7674840085287846, 0.7684631803628601, 0.7690940428740709, 0.7697596347522492, 0.7710444894910915, 0.7708932555576464, 0.7730080954409885, 0.7732756288882877, 0.7750534188034187, 0.7750397242196547, 0.7749147920927062, 0.7762667961793752, 0.7767556047157849, 0.7775918829942253, 0.7779343231819659, 0.7779582115405435, 0.7782088499416696]",0.7782088499416696,0.7801094890510949,0.831874712114233,-1.0,0.619,0.583,0.381,0.417,"[0.5967570658389152, 0.6209915063269198, 0.6218313720528069, 0.6379401176573887, 0.6512439389133095, 0.6521934960814341, 0.6554773506587258, 0.6700555398663278, 0.6660033320992225, 0.66945762396502, 0.6766376372586141, 0.6772286592575076, 0.6751485102203096, 0.6777976639035418, 0.6791509433962264, 0.6805765595463138, 0.6860945608302902, 0.6852020081281377, 0.6826941243151332, 0.686700828504382, 0.6835908063300679, 0.6922033898305084, 0.6869791666666667, 0.691413194944981, 0.6981085728322279, 0.6935203934046862, 0.6938834530293536, 0.6947632365705468, 0.6972993977074023, 0.6967229009113826, 0.6982813184673061]",0.7172818791946308,0.771135781383433,0.855,0.903,0.7,0.7230288982391357,512,6,4,cuda,quora,tname-paraphrase-MiniLM-L3-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-30-,20,30,paraphrase-MiniLM-L3-v2,,"[0 1]:[1000 1000], Total:2000"
[],0.8421393748849033,0.9025949376037433,0.7805,0.841,0.00028616273403167725,0.0002812492847442627,"[0.7470363775120835, 0.7803856509559683, 0.7869591848098446, 0.7911683026753553, 0.7937700811414257, 0.7976045921183353, 0.7990139050468118, 0.799304520615996, 0.8003060443764346, 0.8020181520942556, 0.8036832002670597, 0.8055680287382129, 0.8046822742474916, 0.8057839682273312, 0.8083436133228663, 0.8073404730031236, 0.8079239124317631, 0.8093656875266071, 0.8094086862538753, 0.8081217099554578, 0.8103140158284401, 0.8112299767928906, 0.8114068656631799, 0.812551989214927, 0.8125071063104037, 0.8112556561085972, 0.8120941787589633, 0.8126156386097748, 0.8126206974894923, 0.8112022088862593, 0.8110721068078495]",0.8110721068078495,0.8048021342819031,0.8526413345690456,-1.0,0.616,0.546,0.384,0.454,"[0.6386689865158764, 0.7015991002004988, 0.7211450147974283, 0.7175918998453789, 0.7142997157698716, 0.7255975095400683, 0.7290971590334647, 0.7271768605001506, 0.7444251146607623, 0.7426140515711452, 0.735975951495389, 0.7431648715824358, 0.7380368098159509, 0.741226716064629, 0.7450899317758941, 0.7408886158886159, 0.747008013320845, 0.7538461538461538, 0.7552948670311588, 0.7653117125013695, 0.7543970844557123, 0.7537603870832018, 0.7549717782349528, 0.763846195329774, 0.7577942735949099, 0.7533088235294118, 0.7529578054653963, 0.7588113337940566, 0.7573046792293034, 0.750847546028269, 0.7645654768362807]",0.7245796637309848,0.7944732297063903,0.905,0.92,0.7,0.6950451135635376,256,6,4,cuda,quora,tname-multi-qa-MiniLM-L6-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-30-,20,30,multi-qa-MiniLM-L6-cos-v1,,"[0 1]:[1000 1000], Total:2000"
[],0.8501650208466502,0.9112952749014247,0.7965,0.8445,0.00046355187892913816,0.00045352888107299806,"[0.7550550294343487, 0.7934125955146065, 0.8004046421446034, 0.8054001598355977, 0.8088319088319088, 0.8085759781619655, 0.8112278304438182, 0.8131034287493983, 0.8128098467149125, 0.8126289606828909, 0.8124241140759565, 0.815247075056774, 0.815865646404723, 0.816477027221662, 0.8164748637189582, 0.8171529318091338, 0.8169469039310125, 0.8159846435738591, 0.8179805891367274, 0.8183885824756923, 0.816981399971603, 0.8177210114837193, 0.8176089771255934, 0.8195556069230547, 0.8190559186637617, 0.8179061371841155, 0.8189164746039619, 0.8176349210962249, 0.820252872901126, 0.8189394157847689, 0.8176277006724852]",0.8176277006724852,0.818546589389211,0.8492486669898207,-1.0,0.642,0.572,0.358,0.428,"[0.6483516483516484, 0.7215393106216447, 0.7391913634712203, 0.7538469758495405, 0.7558572949946751, 0.7543505942275043, 0.7575902589461371, 0.7557766198220959, 0.759612312280328, 0.754236843486017, 0.7533909400366589, 0.7678561758813017, 0.7663813061971679, 0.7704267463984779, 0.7712931175412784, 0.7623898970603842, 0.771699449681251, 0.7766151802026241, 0.761814145258484, 0.7633923835790813, 0.7613125165387669, 0.7676219151567288, 0.7707078925956062, 0.7754387883427196, 0.7786799226732947, 0.7735591368478558, 0.7815893523417052, 0.7776549284095307, 0.7738709852725395, 0.7734626068958004, 0.7670335570469798]",0.7385358004827032,0.8240827845719662,0.918,0.876,0.7,0.7357991337776184,256,6,4,cuda,quora,tname-multi-qa-distilbert-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-30-,20,30,multi-qa-distilbert-cos-v1,,"[0 1]:[1000 1000], Total:2000"
[],0.84915465001536,0.910079346292931,0.784,0.853,0.00029233860969543455,0.000279587984085083,[0.8063704057026261],0.8063704057026261,0.8090185676392573,0.8606635071090046,-1.0,0.626,0.57,0.374,0.43,[0.7104169584909185],0.7250396196513471,0.818018018018018,0.915,0.908,0.7,0.7086631059646606,256,6,4,cuda,quora,Jan11-tname-all-MiniLM-L6-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-,20,50,all-MiniLM-L6-v2,,"[0 1]:[1000 1000], Total:2000"
