tname,dname,clients_per_round,num_clients,batch_size,device,client_epochs,num_rounds,Searched Round,Searched Round F1,Final Round F1,Stored Best F1,True Hit Rate (Searche Round),True Hit Rate (Final Round),F1 (My-Threshold) (Evaluated),Precision (My-Threshold) (Evaluated),Recall (My-Threshold) (Evaluated),Accuracy (My-Threshold) (Evaluated),Threshold (My-Threshold) (Evaluated),Avg. Time (My-Threshold) (Evaluated),True Hit Rate (My-Threshold) (Evaluated),False Hit Rate (My-Threshold) (Evaluated),True Miss Rate (My-Threshold) (Evaluated),False Miss Rate (My-Threshold) (Evaluated),F1 (SBERT-Threshold) (Evaluated),Precision (SBERT-Threshold) (Evaluated),Recall (SBERT-Threshold) (Evaluated),Accuracy (SBERT-Threshold) (Evaluated),Threshold (SBERT-Threshold) (Evaluated),Avg. Time (SBERT-Threshold) (Evaluated),True Hit Rate (SBERT-Threshold) (Evaluated),False Hit Rate (SBERT-Threshold) (Evaluated),True Miss Rate (SBERT-Threshold) (Evaluated),False Miss Rate (SBERT-Threshold) (Evaluated),key,F1 (GPTCache),Precision (GPTCache),Recall (GPTCache),Accuracy (GPTCache),Threshold (GPTCache),Avg. Time (GPTCache),True Hit Rate (GPTCache),False Hit Rate (GPTCache),True Miss Rate (GPTCache),False Miss Rate (GPTCache)
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,100,91,0.8934288121314238,0.8921135646687698,0.8934288121314238,0.7168141592920354,0.7141592920353982,0.8847619047619049,0.8445454545454546,0.929,0.879,0.78,0.0007591544389724731,0.775,0.175,0.809,0.066,0.8839200761179828,0.8430127041742287,0.929,0.878,0.7781050205230713,0.0007626725435256959,0.775,0.1765,0.806,0.066,Approved-tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-100-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0007589329481124877,0.81,0.265,0.629,0.031
all-mpnet-base-v2,dgptcache,4,20,128,cuda,8,50,50,0.8905047048759623,0.8905047048759623,-1.0,-1.0,-1.0,0.8858669256920836,0.8611898016997167,0.912,0.8825,0.8,0.0007576239109039306,0.757,0.164,0.831,0.084,0.8877057115198451,0.8602251407129456,0.917,0.884,0.7973353266716003,0.0007603942155838013,0.762,0.166,0.827,0.079,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-8-num_rounds-50-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0007576233148574829,0.81,0.265,0.629,0.031
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,50,50,0.8836432003342386,0.8836432003342386,-1.0,-1.0,-1.0,0.8820709491850431,0.8471454880294659,0.92,0.877,0.76,0.0007998842000961304,0.767,0.1725,0.813,0.075,0.8818443804034583,0.8484288354898336,0.918,0.877,0.7620280385017395,0.000760738730430603,0.765,0.1715,0.815,0.077,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0007580327987670899,0.81,0.265,0.629,0.031
all-mpnet-base-v2,dgptcache,4,20,128,cuda,4,50,47,0.8780694326841659,0.8774331550802139,-1.0,-1.0,-1.0,0.8760975609756098,0.8552380952380952,0.898,0.873,0.77,0.0007573679685592651,0.752,0.16,0.832,0.096,0.8759765625,0.8559160305343512,0.897,0.873,0.7711963653564453,0.0007620282173156738,0.752,0.1595,0.833,0.096,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-4-num_rounds-50-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0008058550357818604,0.81,0.265,0.629,0.031
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,50,49,0.8741808650065531,0.8741808650065531,-1.0,-1.0,-1.0,0.8784046692607005,0.8551136363636364,0.903,0.875,0.78,0.0007580668926239014,0.749,0.1645,0.831,0.091,0.8802681992337165,0.8446691176470589,0.919,0.875,0.7627071142196655,0.0007606395483016968,0.765,0.1745,0.811,0.075,Jan11-tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0007582991123199462,0.81,0.265,0.629,0.031
paraphrase-albert-small-v2,dgptcache,10,20,64,cuda,3,150,87,0.8731514267860863,0.8700166112956811,-1.0,-1.0,-1.0,0.8616262482168331,0.8213961922030825,0.906,0.8545,0.78,0.0005131133794784546,0.757,0.1865,0.782,0.088,0.8612303290414879,0.8231540565177757,0.903,0.8545,0.781480610370636,0.0005156657695770263,0.754,0.1845,0.786,0.091,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.000513801097869873,0.813,0.2445,0.653,0.045
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,8,50,47,0.8666107382550335,0.8664426711465771,-1.0,-1.0,-1.0,0.8597768073750607,0.8350612629594723,0.886,0.8555,0.71,0.0005131347179412842,0.74,0.175,0.802,0.108,0.8623676612127045,0.8311688311688312,0.896,0.857,0.7023127675056458,0.000560917615890503,0.747,0.179,0.795,0.1,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-8-num_rounds-50-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.0005136706829071045,0.813,0.2445,0.653,0.045
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,100,82,0.8633423742958481,0.8556149732620321,0.8633423742958481,0.7221238938053097,0.7477876106194691,0.861437294504462,0.812223206377325,0.917,0.8525,0.75,0.00030278921127319336,0.763,0.196,0.769,0.076,0.861437294504462,0.812223206377325,0.917,0.8525,0.749932587146759,0.0003053264617919922,0.763,0.196,0.769,0.076,Approved-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003019626140594482,0.803,0.273,0.609,0.042
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,8,50,48,0.8632943143812708,0.8626878130217028,-1.0,-1.0,-1.0,0.8592870544090057,0.8091872791519434,0.916,0.85,0.75,0.00030249559879302976,0.765,0.197,0.765,0.076,0.8601036269430051,0.8130008904719501,0.913,0.8515,0.753821074962616,0.0003063647747039795,0.762,0.194,0.771,0.079,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-8-num_rounds-50-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003527270555496216,0.803,0.273,0.609,0.042
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,6,100,79,0.8627697464906767,0.862662746745065,0.8627697464906767,0.713716814159292,0.7079646017699115,0.8628954937679769,0.8287292817679558,0.9,0.857,0.7,0.0005128780603408813,0.754,0.1805,0.789,0.096,0.8641148325358853,0.828440366972477,0.903,0.858,0.6971404552459717,0.0005144881010055542,0.756,0.181,0.788,0.094,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.0005144776105880738,0.813,0.2445,0.653,0.045
