tname,dname,clients_per_round,num_clients,batch_size,device,client_epochs,num_rounds,Searched Round,Searched Round F1,Final Round F1,Stored Best F1,True Hit Rate (Searche Round),True Hit Rate (Final Round),F1 (My-Threshold) (Evaluated),Precision (My-Threshold) (Evaluated),Recall (My-Threshold) (Evaluated),Accuracy (My-Threshold) (Evaluated),Threshold (My-Threshold) (Evaluated),Avg. Time (My-Threshold) (Evaluated),True Hit Rate (My-Threshold) (Evaluated),False Hit Rate (My-Threshold) (Evaluated),True Miss Rate (My-Threshold) (Evaluated),False Miss Rate (My-Threshold) (Evaluated),F1 (SBERT-Threshold) (Evaluated),Precision (SBERT-Threshold) (Evaluated),Recall (SBERT-Threshold) (Evaluated),Accuracy (SBERT-Threshold) (Evaluated),Threshold (SBERT-Threshold) (Evaluated),Avg. Time (SBERT-Threshold) (Evaluated),True Hit Rate (SBERT-Threshold) (Evaluated),False Hit Rate (SBERT-Threshold) (Evaluated),True Miss Rate (SBERT-Threshold) (Evaluated),False Miss Rate (SBERT-Threshold) (Evaluated),key,F1 (GPTCache),Precision (GPTCache),Recall (GPTCache),Accuracy (GPTCache),Threshold (GPTCache),Avg. Time (GPTCache),True Hit Rate (GPTCache),False Hit Rate (GPTCache),True Miss Rate (GPTCache),False Miss Rate (GPTCache)
multi-qa-mpnet-base-cos-v1,quora,4,20,128,cuda,6,30,9,0.8258556891766883,0.8146718146718147,-1.0,-1.0,-1.0,0.8564638783269962,0.8161231884057971,0.901,0.849,0.7,0.000737736701965332,0.63,0.296,0.733,0.045,0.857824427480916,0.8202554744525548,0.899,0.851,0.7037608623504639,0.0007401614189147949,0.628,0.292,0.741,0.047,tname-multi-qa-mpnet-base-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-30-,0.8283093053735255,0.7354538401861909,0.948,0.8035,0.7,0.0007558099031448365,0.67,0.34,0.631,0.019
multi-qa-distilbert-cos-v1,quora,4,20,256,cuda,6,30,28,0.820252872901126,0.8176277006724852,-1.0,-1.0,-1.0,0.8532066508313539,0.8126696832579186,0.898,0.8455,0.7,0.00044869065284729,0.627,0.299,0.72,0.055,0.8532066508313539,0.8126696832579186,0.898,0.8455,0.6993176937103271,0.00045175957679748535,0.627,0.2995,0.719,0.055,tname-multi-qa-distilbert-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-30-,0.8147490004442471,0.7330135891286971,0.917,0.7915,0.7,0.00046617686748504637,0.658,0.335,0.641,0.031
all-MiniLM-L6-v2,quora,4,20,256,cuda,6,100,39,0.8182054766792932,0.8068343871922506,0.8182054766792932,0.34681372549019607,0.35263480392156865,0.8513177523620089,0.8466864490603363,0.856,0.8505,0.75,0.0002979427576065063,0.594,0.2625,0.795,0.086,0.8551992225461613,0.831758034026465,0.88,0.851,0.727026104927063,0.00030087625980377197,0.608,0.282,0.759,0.069,Approved-tname-all-MiniLM-L6-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.8153034300791557,0.7276295133437991,0.927,0.79,0.7,0.00029700636863708494,0.658,0.3415,0.628,0.031
all-mpnet-base-v2,quora,4,20,128,cuda,6,50,49,0.8173913043478261,0.8173913043478261,-1.0,-1.0,-1.0,0.8602150537634409,0.8413001912045889,0.88,0.857,0.73,0.0007394781112670898,0.623,0.263,0.791,0.06,0.8660585693710993,0.8328716528162512,0.902,0.8605,0.7128240466117859,0.0007396762371063233,0.633,0.277,0.763,0.05,Jan11-tname-all-mpnet-base-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-,0.8246153846153846,0.735686274509804,0.938,0.8005,0.7,0.0007511378526687622,0.657,0.3365,0.637,0.033
multi-qa-MiniLM-L6-cos-v1,quora,4,20,256,cuda,6,30,28,0.8126206974894923,0.8110721068078495,-1.0,-1.0,-1.0,0.8548310328415042,0.815622161671208,0.898,0.8475,0.72,0.00035101234912872316,0.624,0.2945,0.736,0.051,0.8551000953288845,0.8169398907103825,0.897,0.848,0.7211343050003052,0.0003021198511123657,0.623,0.292,0.741,0.052,tname-multi-qa-MiniLM-L6-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-30-,0.806693086745927,0.7206923682140047,0.916,0.7805,0.7,0.000297599196434021,0.657,0.3445,0.62,0.034
all-MiniLM-L6-v2,quora,4,20,256,cuda,6,50,49,0.8063704057026261,0.8063704057026261,-1.0,-1.0,-1.0,0.8533459895586141,0.8121047877145439,0.899,0.8455,0.71,0.00029929864406585694,0.624,0.2945,0.731,0.056,0.8536238749407864,0.810981098109811,0.901,0.8455,0.7077434062957764,0.0003012268543243408,0.625,0.296,0.729,0.054,Jan11-tname-all-MiniLM-L6-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-,0.8153034300791557,0.7276295133437991,0.927,0.79,0.7,0.00035573959350585936,0.658,0.3415,0.628,0.031
multi-qa-MiniLM-L6-cos-v1,quora,4,20,412,cuda,6,30,30,0.8057910599104302,0.8057910599104302,-1.0,-1.0,-1.0,0.8527724665391969,0.8168498168498168,0.892,0.846,0.73,0.0003001738786697388,0.627,0.284,0.742,0.063,0.8525059665871122,0.8155251141552512,0.893,0.8455,0.7282471656799316,0.000301796555519104,0.628,0.285,0.741,0.061,tname-multi-qa-MiniLM-L6-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-412-device-cuda-client_epochs-6-num_rounds-30-,0.806693086745927,0.7206923682140047,0.916,0.7805,0.7,0.0003547179698944092,0.657,0.3445,0.62,0.034
paraphrase-albert-small-v2,quora,4,20,512,cuda,6,50,19,0.7944761265794476,0.7825192516193601,-1.0,-1.0,-1.0,0.8339658444022771,0.7933212996389891,0.879,0.825,0.64,0.0004898395538330078,0.607,0.324,0.679,0.066,0.8353831598864713,0.7926391382405745,0.883,0.826,0.6380887627601624,0.0004920568466186523,0.608,0.3265,0.675,0.064,tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-50-,0.8005415162454874,0.7294407894736842,0.887,0.779,0.7,0.0005408451557159424,0.66,0.325,0.647,0.043
paraphrase-albert-small-v2,quora,4,20,256,cuda,6,100,6,0.7860461369068399,0.7293667932583713,0.7860461369068399,0.34877450980392155,0.26574754901960784,0.7850287907869481,0.7546125461254612,0.818,0.776,0.71,0.0004907826185226441,0.527,0.4755,0.453,0.069,0.7876484560570072,0.7502262443438914,0.829,0.7765,0.7026903629302979,0.0004924087524414062,0.528,0.4925,0.426,0.061,Approved-tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.8005415162454874,0.7294407894736842,0.887,0.779,0.7,0.0004916675090789795,0.66,0.325,0.647,0.043
paraphrase-MiniLM-L3-v2,quora,4,20,412,cuda,6,30,30,0.7790356623996053,0.7790356623996053,-1.0,-1.0,-1.0,0.8346312414109024,0.7700760777683855,0.911,0.8195,0.72,0.0002661064863204956,0.637,0.3185,0.678,0.048,0.8327137546468402,0.7777777777777778,0.896,0.82,0.7318376302719116,0.0002694735527038574,0.628,0.3085,0.696,0.059,tname-paraphrase-MiniLM-L3-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-412-device-cuda-client_epochs-6-num_rounds-30-,0.772438803263826,0.7064676616915423,0.852,0.749,0.7,0.0002652127742767334,0.63,0.348,0.619,0.055
