tname,dname,clients_per_round,num_clients,batch_size,device,client_epochs,num_rounds,Searched Round,Round F1,Final Round F1,Stored Best F1,True Hit Rate (Round),True Hit Rate (Final Round),key
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,100,91,0.8934288121314238,0.8921135646687698,0.8934288121314238,0.7168141592920354,0.7141592920353982,Approved-tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-100-
all-mpnet-base-v2,dgptcache,4,20,128,cuda,8,50,50,0.8905047048759623,0.8905047048759623,-1.0,-1.0,-1.0,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-8-num_rounds-50-
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,50,50,0.8836432003342386,0.8836432003342386,-1.0,-1.0,-1.0,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-
all-mpnet-base-v2,dgptcache,4,20,128,cuda,4,50,47,0.8780694326841659,0.8774331550802139,-1.0,-1.0,-1.0,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-4-num_rounds-50-
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,50,49,0.8741808650065531,0.8741808650065531,-1.0,-1.0,-1.0,Jan11-tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-
paraphrase-albert-small-v2,dgptcache,10,20,64,cuda,3,150,87,0.8731514267860863,0.8700166112956811,-1.0,-1.0,-1.0,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,8,50,47,0.8666107382550335,0.8664426711465771,-1.0,-1.0,-1.0,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-8-num_rounds-50-
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,100,82,0.8633423742958481,0.8556149732620321,0.8633423742958481,0.7221238938053097,0.7477876106194691,Approved-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,8,50,48,0.8632943143812708,0.8626878130217028,-1.0,-1.0,-1.0,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-8-num_rounds-50-
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,6,100,79,0.8627697464906767,0.862662746745065,0.8627697464906767,0.713716814159292,0.7079646017699115,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
