tname,dname,clients_per_round,num_clients,batch_size,device,client_epochs,num_rounds,Searched Round,Round F1,Final Round F1,Stored Best F1,True Hit Rate (Round),True Hit Rate (Final Round),key
multi-qa-mpnet-base-cos-v1,quora,4,20,128,cuda,6,30,9,0.8258556891766883,0.8146718146718147,-1.0,-1.0,-1.0,tname-multi-qa-mpnet-base-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-30-
multi-qa-distilbert-cos-v1,quora,4,20,256,cuda,6,30,28,0.820252872901126,0.8176277006724852,-1.0,-1.0,-1.0,tname-multi-qa-distilbert-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-30-
all-MiniLM-L6-v2,quora,4,20,256,cuda,6,100,39,0.8182054766792932,0.8068343871922506,0.8182054766792932,0.34681372549019607,0.35263480392156865,Approved-tname-all-MiniLM-L6-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
all-mpnet-base-v2,quora,4,20,128,cuda,6,50,49,0.8173913043478261,0.8173913043478261,-1.0,-1.0,-1.0,Jan11-tname-all-mpnet-base-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-
multi-qa-MiniLM-L6-cos-v1,quora,4,20,256,cuda,6,30,28,0.8126206974894923,0.8110721068078495,-1.0,-1.0,-1.0,tname-multi-qa-MiniLM-L6-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-30-
all-MiniLM-L6-v2,quora,4,20,256,cuda,6,50,49,0.8063704057026261,0.8063704057026261,-1.0,-1.0,-1.0,Jan11-tname-all-MiniLM-L6-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-
multi-qa-MiniLM-L6-cos-v1,quora,4,20,412,cuda,6,30,30,0.8057910599104302,0.8057910599104302,-1.0,-1.0,-1.0,tname-multi-qa-MiniLM-L6-cos-v1-dname-quora-clients_per_round-4-num_clients-20-batch_size-412-device-cuda-client_epochs-6-num_rounds-30-
paraphrase-albert-small-v2,quora,4,20,512,cuda,6,50,19,0.7944761265794476,0.7825192516193601,-1.0,-1.0,-1.0,tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-50-
paraphrase-albert-small-v2,quora,4,20,256,cuda,6,100,6,0.7860461369068399,0.7293667932583713,0.7860461369068399,0.34877450980392155,0.26574754901960784,Approved-tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-
paraphrase-MiniLM-L3-v2,quora,4,20,412,cuda,6,30,30,0.7790356623996053,0.7790356623996053,-1.0,-1.0,-1.0,tname-paraphrase-MiniLM-L3-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-412-device-cuda-client_epochs-6-num_rounds-30-
paraphrase-MiniLM-L3-v2,quora,4,20,512,cuda,6,30,30,0.7782088499416696,0.7782088499416696,-1.0,-1.0,-1.0,tname-paraphrase-MiniLM-L3-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-30-
paraphrase-MiniLM-L3-v2,quora,4,20,512,cuda,6,100,81,0.777042961140162,0.7759297995000255,0.777042961140162,0.35582107843137256,0.35545343137254903,Approved-tname-paraphrase-MiniLM-L3-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-100-
paraphrase-MiniLM-L3-v2,quora,4,20,512,cuda,6,50,49,0.7652587981448874,0.7652587981448874,-1.0,-1.0,-1.0,Jan11-tname-paraphrase-MiniLM-L3-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-50-
paraphrase-albert-small-v2,quora,2,20,512,cuda,1,2,0,0.7428484633689433,0.7428484633689433,-1.0,-1.0,-1.0,tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-2-num_clients-20-batch_size-512-device-cuda-client_epochs-1-num_rounds-2-
paraphrase-albert-small-v2,quora,2,20,512,cuda,1,3,0,0.7413641059235556,0.7413641059235556,-1.0,-1.0,-1.0,tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-2-num_clients-20-batch_size-512-device-cuda-client_epochs-1-num_rounds-3-
paraphrase-albert-small-v2,quora,4,20,256,cuda,6,50,49,0.7385427994407333,0.7385427994407333,-1.0,-1.0,-1.0,Jan11-tname-paraphrase-albert-small-v2-dname-quora-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-
