Metric,Value,Cache Type,Model,Key,Sampling
AP,0.8550232714986388,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
F1,0.8316090688972043,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Precision,0.7428234368855682,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Recall,0.9445,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Accuracy,0.80875,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Threshold,0.7,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Avg. Time,0.0006164194941520691,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Hit Rate,0.7045,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Miss Rate,0.2955,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
Hit Accuracy,0.67125,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
True Hit Rate,0.7045,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
False Hit Rate,0.31025,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
True Miss Rate,0.638,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
False Miss Rate,0.037,GPTCache,paraphrase-albert-small-v2,---,"[0 1]:[2000 2000], Total:4000"
AP,0.9111131928845179,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
F1,0.8670112781954887,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
Precision,0.8178191489361702,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[2000 2000], Total:4000"
