AP,F1,Precision,Recall,Accuracy,Threshold,Avg. Time,Cache Type,Model,Key,Sampling
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.0,0.07979977488517762,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6688963210702341,0.5025125628140703,1.0,0.505,0.0,0.0028615522384643553,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6666666666666666,0.5,1.0,0.5,0.0,0.0009707069396972656,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.01,0.07935174226760865,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6688963210702341,0.5025125628140703,1.0,0.505,0.01,0.0006424307823181153,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6666666666666666,0.5,1.0,0.5,0.01,0.001187645196914673,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.02,0.07938870310783386,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6688963210702341,0.5025125628140703,1.0,0.505,0.02,0.0006349015235900878,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6688963210702341,0.5025125628140703,1.0,0.505,0.02,0.0010704362392425536,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.03,0.07981540083885193,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6688963210702341,0.5025125628140703,1.0,0.505,0.03,0.0006422030925750732,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6688963210702341,0.5025125628140703,1.0,0.505,0.03,0.0010686886310577392,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.04,0.07941881775856018,llama2,llama2,---,"[0 1]:[100 100], Total:200"
